Argument,BRISK,FAST,FREAK,MSER,ORB,STAR,
1,136.264,779.715,308.593,372.069,45.0392,34.2965,
2,88.6487,502.639,273.009,334.676,43.1457,32.8286,
3,66.8306,285.008,276.424,315.578,41.4029,30.7573,
4,57.8331,192.242,223.58,312.013,40.7473,29.5231,
5,50.6245,133.338,202.558,280.923,38.2925,28.254,
6,58.8545,100.121,300.874,278.485,37.1512,27.8807,
