Argument,BRISK,FAST,FREAK,GFTT,MSER,ORB,SIFT,STAR,SURF,
1,0.741144,0.914618,0.940465,0.969828,0.825688,0.964824,0.839784,0.94375,0.949507,
2,0.605351,0.860683,0.893319,0.911532,0.793651,0.912,0.734581,0.890566,0.927175,
3,0.484211,0.774849,0.816883,0.811052,0.692308,0.835227,0.655763,0.834123,0.877152,
4,0.448276,0.722854,0.785609,0.731481,0.630137,0.786585,0.614644,0.824176,0.843172,
5,0.378378,0.626687,0.69616,0.604651,0.567164,0.669782,0.58753,0.763514,0.769912,
6,0.31068,0.586912,0.693227,0.475248,0.551181,0.616162,0.556522,0.716418,0.731278,
