Argument,BRISK,FAST,FREAK,GFTT,MSER,ORB,SIFT,STAR,SURF,
1,131.201,1011.9,302.714,61.1092,391.184,44.9099,514.579,67.9077,372.833,
2,87.3117,483.475,289.502,98.362,309.286,45.223,542.193,61.9122,378.105,
3,65.9017,293.198,240.106,105.103,297.154,42.6057,391.145,55.1795,304.71,
4,58.7911,197.606,248.104,106.551,285.738,40.4439,362.97,42.2012,274.783,
5,58.5456,136.407,227.311,104.612,266.756,38.3605,329.052,38.459,300.567,
6,54.7754,104.049,215.2,103.414,255.551,37.2005,339.756,37.7656,232.141,
