Argument,BRISK-10,BRISK-20,BRISK-30,BRISK-40,BRISK-50,BRISK-60,BRISK-70,BRISK-80,BRISK-90,FAST-10,FAST-20,FAST-30,FAST-40,FAST-50,FAST-60,FAST-70,FAST-80,FAST-90,FREAK-1200,FREAK-1500,FREAK-1800,FREAK-2100,FREAK-2400,FREAK-2700,FREAK-300,FREAK-600,FREAK-900,MSER-12,MSER-15,MSER-18,MSER-21,MSER-24,MSER-27,MSER-3,MSER-6,MSER-9,ORB-10,ORB-12,ORB-14,ORB-16,ORB-18,ORB-2,ORB-4,ORB-6,ORB-8,SIFT-10,SIFT-20,SIFT-30,SIFT-40,SIFT-50,SIFT-60,SIFT-70,SIFT-80,SIFT-90,STAR-10,STAR-20,STAR-30,STAR-40,STAR-50,STAR-60,STAR-70,STAR-80,STAR-90,SURF-1000,SURF-1200,SURF-1400,SURF-1600,SURF-1800,SURF-200,SURF-400,SURF-600,SURF-800,
1,640.275,366.19,253.904,194.704,146.056,117.971,101.889,68.06,60.5294,3553.31,1038.14,472.028,241.129,147.889,94.7392,61.8433,37.7374,23.057,350.686,342.597,292.96,266.749,278.005,250.949,550.914,423.064,351.74,465.571,423.079,346.976,279.307,247.768,163.579,1176.64,779.222,611.951,109.38,111.155,112.712,113.141,114.858,113.63,100.881,107.193,112.196,1334.11,1425.93,1347.9,1342.78,1361.94,1449.77,1383.2,1382.3,1381.57,132.018,174.586,176.93,150.281,122.373,123.123,85.5041,83.5649,95.1918,538.767,530.999,422.34,414.916,375.432,881.596,790.224,623.759,510.092,
2,502.363,312.329,199.747,134.191,112.905,83.4501,66.5575,47.3631,42.4091,1947.38,741.112,240.035,150.434,68.0838,37.4696,22.1079,13.2764,8.66165,308.782,391.448,271.651,272.053,256.957,256.247,477.104,467.947,333.803,455.439,369.174,315.196,241.555,236.777,171.202,1154.84,678.717,556.508,103.962,104.633,108.386,107.975,108.707,107.359,95.301,100.914,105.34,1233.32,1291.22,1222.01,1235.2,1279.48,1275.8,1242.16,1246.27,1267.55,123.21,148.831,149.965,142.646,109.23,105.659,73.4675,78.9305,82.0909,525.13,473.876,415.051,362.2,342.27,784.386,693.763,559.804,480.642,
3,411.406,211.951,141.418,91.5224,75.3927,54.7481,44.1038,38.1107,30.5232,1103.33,300.29,111.156,50.1861,29.8821,11.2719,7.37708,5.8886,NULL,313.589,334.693,261.756,246.94,239.898,236.534,494.828,413.995,315.369,373.012,321.609,237.128,182.69,203.122,142.228,1180.77,689.537,494.923,96.9533,98.0391,101.646,99.7389,100.14,99.1239,87.3379,93.9376,96.8819,1121.83,1154.03,1090.28,1120.3,1476.13,1148.13,1125.77,1100.67,1110.13,97.4511,121.139,121.301,116.62,94.3197,91.7931,65.7642,71.9641,76.6721,434.061,423.204,370.019,340.493,316.756,757.336,600.798,493.805,446.487,
4,355.15,191.793,114.05,89.5053,73.6849,49.3998,41.6691,33.4432,29.2008,773.525,183.627,60.3353,25.8823,13.163,6.87967,NULL,NULL,NULL,279.167,281.837,248.018,234.023,236.173,228.319,421.847,370.021,307.559,314.664,254.375,210.119,170.306,184.186,111.962,1143.99,617.471,432.495,92.4972,94.8722,96.0835,95.252,96.6509,94.5512,81.6443,90.166,93.8634,1053.25,1091.44,1032.78,1059.78,1192.81,1102.76,1050.44,1046.33,1056.96,85.4141,107.553,113.274,104.379,83.6624,87.406,59.5621,66.4469,63.0439,463.89,376.921,344.75,313.82,296.433,743.228,541.396,464.084,422.665,
5,339.234,155.458,91.6657,86.7663,63.7597,42.9681,35.9022,29.513,26.6844,530.094,105.957,33.1166,11.5224,NULL,NULL,NULL,NULL,NULL,257.997,250.731,236.217,230.743,226.333,246.691,396.33,356.763,288.427,308.451,232.1,214.896,167.715,138.035,199.549,875.841,621.463,440.291,87.4233,87.588,89.5645,88.8721,89.9434,89.9112,78.0374,83.6255,86.2824,1007.97,1083.31,994.091,1006.54,1034.65,1028.88,1009.12,1009.39,1029.24,76.4976,99.0348,101.549,97.7736,75.3022,76.1318,54.4653,59.5556,56.6243,438.635,336.336,305.081,293.64,280.478,668.732,532.76,461.742,389.169,
6,302.37,132.654,85.198,79.9295,59.1057,38.623,33.5846,26.5589,24.9878,402.186,58.8216,15.6001,6.74529,NULL,NULL,NULL,NULL,NULL,264.208,246.366,239.98,219.463,219.598,229.142,370.597,352.808,278.45,297.531,228.289,195.565,178.543,128.325,149.836,1021.1,565.172,402.925,83.6517,84.2741,86.3659,89.3345,87.8101,86.3524,73.4969,80.8432,82.8477,994.453,1022.13,965.106,977.698,1023.52,1011.22,981.44,986.578,992.655,71.4382,92.0408,98.1095,90.9714,71.6174,72.0341,53.2699,57.1763,54.7985,362.501,305.573,287.334,270.836,262.849,573.116,470.348,377.867,346.011,
