Argument,BRISK-10,BRISK-20,BRISK-30,BRISK-40,BRISK-50,BRISK-60,BRISK-70,BRISK-80,BRISK-90,FAST-10,FAST-20,FAST-30,FAST-40,FAST-50,FAST-60,FAST-70,FAST-80,FAST-90,FREAK-1200,FREAK-1500,FREAK-1800,FREAK-2100,FREAK-2400,FREAK-2700,FREAK-300,FREAK-600,FREAK-900,MSER-12,MSER-15,MSER-18,MSER-21,MSER-24,MSER-27,MSER-3,MSER-6,MSER-9,ORB-10,ORB-12,ORB-14,ORB-16,ORB-18,ORB-2,ORB-4,ORB-6,ORB-8,SIFT-10,SIFT-20,SIFT-30,SIFT-40,SIFT-50,SIFT-60,SIFT-70,SIFT-80,SIFT-90,STAR-10,STAR-20,STAR-30,STAR-40,STAR-50,STAR-60,STAR-70,STAR-80,STAR-90,SURF-1000,SURF-1200,SURF-1400,SURF-1600,SURF-1800,SURF-200,SURF-400,SURF-600,SURF-800,
1,0.682131,0.704989,0.741848,0.757475,0.740157,0.75,0.773256,0.761905,0.686275,0.914618,0.942699,0.952849,0.953148,0.969365,0.964968,0.972603,0.977273,1,0.978202,0.987382,0.982699,0.983871,0.972973,0.968421,0.952857,0.976789,0.980998,0.755814,0.75,0.813953,0.71875,0.789474,0.866667,0.837288,0.826087,0.796748,0.714286,0.75,0.8,0.833333,1,1,1,1,0.833333,0.333333,0.555556,0.785714,0.9,0.916667,0.896552,0.885714,0.880952,0.911111,0.946237,0.945205,0.936963,0.94375,0.946502,0.946502,0.9125,0.9125,0.9125,0.982893,0.981164,0.98482,0.979592,0.982495,0.966507,0.972892,0.972422,0.983494,
2,0.549495,0.575269,0.608696,0.630435,0.655556,0.646617,0.683168,0.621212,0.62963,0.860683,0.885321,0.900958,0.932468,0.939394,0.948905,0.986301,1,1,0.943396,0.944828,0.935223,0.933333,0.919355,0.91875,0.932318,0.94235,0.941176,0.771429,0.702128,0.676471,0.727273,0.555556,0.538462,0.772727,0.794118,0.725664,0.857143,0.875,0.8,0.833333,0.769231,1,0.75,0.8,0.833333,0,0.444444,0.615385,0.666667,0.65,0.692308,0.724138,0.676471,0.736842,0.845455,0.874194,0.863333,0.890566,0.876847,0.876847,0.864662,0.864662,0.864662,0.968085,0.964356,0.969828,0.962791,0.956298,0.93188,0.950116,0.94966,0.960692,
3,0.434783,0.431227,0.486911,0.503817,0.49505,0.564516,0.5,0.466667,0.541667,0.774849,0.815254,0.875862,0.909722,0.939394,0.954545,1,1,NULL,0.858209,0.865801,0.86,0.858824,0.854167,0.876923,0.84261,0.873418,0.882911,0.673077,0.65,0.72,0.727273,0.6,0.5,0.697479,0.680851,0.724138,0.5,0.5,0.666667,0.7,0.545455,1,0,0.25,0.6,0,0.25,0.333333,0.5,0.473684,0.458333,0.448276,0.5,0.617647,0.707792,0.772926,0.795455,0.834123,0.814371,0.814371,0.779817,0.779817,0.779817,0.93047,0.927602,0.935162,0.919668,0.91411,0.875131,0.895151,0.911491,0.92029,
4,0.331461,0.355856,0.448276,0.401869,0.416667,0.464286,0.545455,0.388889,0.384615,0.722854,0.766938,0.8,0.861538,0.944444,1,NULL,NULL,NULL,0.858407,0.85641,0.845238,0.835616,0.862903,0.864865,0.791398,0.830946,0.846429,0.695652,0.625,0.666667,0.666667,0.333333,1,0.646226,0.648,0.527778,0.285714,0.25,0.375,0.4,0.25,1,0,0.333333,0.4,0,0.222222,0.363636,0.4,0.470588,0.478261,0.444444,0.40625,0.454545,0.725664,0.781421,0.793651,0.824176,0.788732,0.788732,0.825581,0.825581,0.825581,0.882618,0.876543,0.870057,0.871473,0.875886,0.840512,0.866187,0.878173,0.886051,
5,0.34386,0.343195,0.378378,0.333333,0.396825,0.411765,0.28125,0.35,0.266667,0.626687,0.649038,0.742857,0.882353,NULL,NULL,NULL,NULL,NULL,0.805405,0.791139,0.792593,0.823529,0.821782,0.824176,0.7475,0.761745,0.792035,0.513514,0.636364,0.785714,0.714286,0.25,0,0.602041,0.530435,0.486111,0.333333,0.222222,0.333333,0.363636,0.230769,1,0,0.333333,0.5,0,0.333333,0.454545,0.4375,0.421053,0.454545,0.37931,0.354839,0.371429,0.732394,0.72028,0.716981,0.763514,0.740741,0.740741,0.746269,0.746269,0.746269,0.847185,0.845455,0.855705,0.846743,0.864407,0.798153,0.830619,0.837302,0.835681,
6,0.247863,0.27907,0.313726,0.25,0.235294,0.25,0.291667,0.4375,0.384615,0.586912,0.555556,0.6,1,NULL,NULL,NULL,NULL,NULL,0.797297,0.790698,0.824074,0.793478,0.794872,0.8,0.704348,0.747036,0.769231,0.5,0.631579,0.555556,0.5,0,0,0.587571,0.556701,0.42623,0.333333,0.25,0.333333,0.375,0.272727,0.5,0,0.5,0.5,0,0.25,0.333333,0.4375,0.421053,0.391304,0.333333,0.290323,0.285714,0.770833,0.666667,0.652482,0.716418,0.731183,0.731183,0.733333,0.733333,0.733333,0.8125,0.820423,0.828,0.823009,0.819095,0.754745,0.769369,0.767699,0.808333,
